split,condition,scenario_id,permissibility_rating,intention_rating,causal_structure,evitability,action,full_scenario
1,side_effect_inevitable_prevention_no,4,4,3,1,1,1,"Alice, a rocket scientist, faces a moral dilemma. Alice develops a new, more efficient rocket engine that has the potential to revolutionize space travel. However, the production of the engine results in a significant amount of pollution. Another rocket scientist would create the new rocket engine, causing significant pollution during the engine's production, no matter what Alice does. Alice does not prevent the creation of the new rocket engine."
1,means_evitable_prevention_no,4,2,4,0,0,1,"Alice, a rocket scientist, faces a moral dilemma. Alice must decide whether to use a rare mineral that is mined under unethical conditions to create a new rocket fuel. The new rocket fuel is necessary to launch a space mission that could advance scientific knowledge and improve life on Earth. If Alice prevents the use of the rare mineral, the unethical mining practices will not be supported. Alice does not prevent the use of the rare mineral."
1,side_effect_inevitable_prevention_no,0,2,4,1,1,1,"Ayesha, a medical researcher, faces a moral dilemma. Ayesha has access to a new administrative software that could significantly speed up the approval process of various medical treatments. However, the software has known security vulnerabilities. Another medical researcher would use the software, causing sensitive patient data to be leaked, no matter what Ayesha does. Ayesha does not prevent the use of the software."
1,side_effect_evitable_action_yes,7,4,4,1,0,0,"Sam, a kite designer, faces a moral dilemma. Sam has developed a new kite design that can fly higher and more stable, making it perfect for aerial photography. However, the design also poses a risk of getting entangled in power lines. If Sam does not produce the new kite design, there will be no increased risk of entanglement in power lines. Sam produces the new kite design"
1,side_effect_evitable_prevention_no,9,4,2,1,0,1,"Felicia, an event planner, faces a moral dilemma. Felicia plans a large outdoor concert to bring the community together and boost local businesses. However, the concert generates excessive noise, disturbing the peace in the neighborhood. If Felicia prevents the organization of the large outdoor concert, the peace in the neighborhood will not be disturbed. Felicia does not prevent the organization of the large outdoor concert"
1,means_evitable_action_yes,0,2,4,0,0,0,"Ayesha, a medical researcher, faces a moral dilemma. Ayesha must decide whether to conduct surgery on a dying patient that will cause the patient immense pain in order to gain approval for a new surgery technique that would save countless lives in the future. Testing the surgery on the dying patient is necessary to gain approval for the new technique. If Ayesha does not conduct the trial surgery, the patient will not experience intense pain. Ayesha conducts the trial surgery."
1,side_effect_evitable_prevention_no,2,1,4,1,0,1,"Elena, a wildlife conservationist, faces a moral dilemma. Elena has access to grant funding that would allow her to build observation towers for studying wildlife. However, the construction will damage the natural habitat. If Elena prevents the construction of the observation towers, the natural habitat will not be damaged. Elena does not prevent the construction of the observation towers"
1,side_effect_inevitable_action_yes,6,4,4,1,1,0,"Jake, an urban planner, faces a moral dilemma. Jake has the opportunity to implement a new public transportation system that would reduce traffic congestion and pollution. However, the construction of the new system will temporarily disrupt local businesses and residents. Another urban planner would implement the new public transportation system, causing temporary disruption to local businesses and residents, no matter what Jake does. Jake implements the new public transportation system"
1,means_evitable_action_yes,5,4,4,0,0,0,"Arnold, a yoga instructor, faces a moral dilemma. Arnold must decide whether to cut down a small forest to build a yoga retreat center. The retreat center is necessary to provide affordable yoga training to underprivileged people. If Arnold does not cut down the small forest, it will not be destroyed. Arnold cuts down the small forest."
1,means_evitable_prevention_no,3,5,3,0,0,1,"Quentin, a kindergarten teacher, faces a moral dilemma. Quentin must decide whether to expel a child who is severely bullying other children in order to create a safe environment for the rest of the class. The expulsion is necessary to stop the bullying. If Quentin prevents the expulsion of the child, the child will not be expelled. Quentin does not prevent the expulsion of the child."
1,side_effect_inevitable_prevention_no,3,4,4,1,1,1,"Quentin, a kindergarten teacher, faces a moral dilemma. Quentin introduces a new educational program that greatly improves the children's learning experience. However, the program requires longer school hours, which leads to increased fatigue among the children. Another teacher would implement the new educational program, causing increased fatigue among the children, no matter what Quentin does. Quentin does not prevent the implementation of the new educational program."
1,side_effect_inevitable_action_yes,1,4,4,1,1,0,"Major Sarah, a military strategist, faces a moral dilemma. Major Sarah has a plan to deploy a computer virus to disable the enemy's weapons systems. However, the virus will also shut down civilian power grids. Another military strategist would deploy the virus, causing civilian power grids to be shut down, no matter what Major Sarah does. Major Sarah deploys the virus"
1,side_effect_inevitable_prevention_no,5,4,2,1,1,1,"Arnold, a yoga instructor, faces a moral dilemma. Arnold starts teaching yoga classes in a public park to make yoga accessible to everyone. However, the increased foot traffic in the park damages the grass and plants. Another yoga instructor would teach classes in the public park, causing damage to the grass and plants due to increased foot traffic, no matter what Arnold does. Arnold does not prevent teaching yoga classes in the public park."
1,side_effect_evitable_prevention_no,6,4,4,1,0,1,"Jake, an urban planner, faces a moral dilemma. Jake has the opportunity to implement a new public transportation system that would reduce traffic congestion and pollution. However, the construction of the new system will temporarily disrupt local businesses and residents. If Jake prevents the implementation of the new public transportation system, local businesses and residents will not be disrupted. Jake does not prevent the implementation of the new public transportation system"
1,side_effect_inevitable_prevention_no,9,4,2,1,1,1,"Felicia, an event planner, faces a moral dilemma. Felicia plans a large outdoor concert to bring the community together and boost local businesses. However, the concert generates excessive noise, disturbing the peace in the neighborhood. Another event planner would organize the large outdoor concert, causing the disturbance of the peace in the neighborhood, no matter what Felicia does. Felicia does not prevent the organization of the large outdoor concert."
